obs	shann
010408	1270	6.06884679709989
010288	1220	5.96406690638018
010330	1262	5.87613056440799
010407	1524	6.20084234739629
010404	1210	5.57664547017934
010413O2V2	577	4.29929687298116
010293	1210	5.80034006389084
010333	931	5.37095511961176
010302	1260	5.65191488352795
010321	1426	6.11553775295925
010298	982	5.69651453672576
010419O0B0	652	4.75088529017846
010415O1V2	885	5.24419058044186
010414O1V3	804	5.64093533116488
010420O1V3	939	5.64309216459095
010421O1V2	960	5.75976997358917
010273	1598	6.22024242425381
010416-V3	1215	5.78592307492512
010422-01V3	914	5.5626409074757
010421	1246	6.12416957436711
010422-01V2	1102	5.99034874167436
010422-01V1	1290	6.205642784075
010406	1029	5.78330221940172
010425	957	5.60081144691096
010420-V1	1248	6.00793135951546
010427O1V1	1618	6.29043906598386
010420O1V2	677	4.91902274343547
010314	903	5.39565008472956
010413	1148	5.81888276559529
010416-01V2	1084	5.74009818365617
010409	1585	6.2478849820236
010420	1119	5.19481467430718
010424O1V1	733	4.54604704262639
010426	729	5.45743100181234
010414	1133	5.68484877442023
010427O1V3	1410	5.98668922924236
010424	1216	5.89720800651112
010420-02V2	805	4.82739937396403
010331-01V1	732	4.92616585917999
010331	956	5.39388311491041
010424O1V2	571	4.36331372596926
010437-V2	636	5.2463232739135
010437-01V1	656	3.58363333304484
010434O2V3	1287	5.78025323246767
010424O1V3	549	5.30991025661804
010437-01V3	633	5.22683980955795
010437	1159	5.63642350702959
010434O2V2	910	5.3611517038112
010405	983	5.79274307663173
010442O1V2	975	5.17523618011057
010439-01V3	1245	6.03698200209654
010429O1V1	537	5.20349097190402
010439-V1	1024	5.60692707308111
010415	1139	5.81469744591554
010423	1016	5.44006730282867
010439O2V2	1121	5.73808049485179
010432	1246	6.04489655458518
010402	1021	5.9097941996751
010442O1V3	1263	5.60838626076808
010444	1612	6.43937498027683
010439O2V1	1300	5.96961183921025
010445O1V1	776	5.3278476280559
010318	1288	5.9009526764384
010442O1V1	1320	6.08857641843777
010422	1093	5.80547898916292
010446O1V3	923	5.06957073882761
010446-00BO	1176	5.92098743271668
010335	1253	6.29434622604315
010451O1V1	596	4.42944140109771
010335O1V3	323	4.67558118200891
010451O1V2	1050	5.20359486989218
010433	1173	6.14618698451953
010335O1V1	440	4.43225826013879
010445O1V2	637	4.87368732430715
010446O1V2	809	5.68474483282751
010445O1V3	1008	5.36769667048459
010410	1576	6.31982998281933
010434-BOBO	1423	6.22557666859479
010454-01V3	1486	5.58615197586268
010429O1V3	565	5.3529234986718
010429O1V2	704	3.96960588816614
010451O1V3	1079	5.81807161477065
010439	1294	5.31805644148197
010456O1V2	1430	5.51047968341975
010457-01V3	1000	5.58946399932186
010454-01V2	1475	5.85047135409957
010456O1V1	1361	5.57385955307501
010451	1072	5.91329708428733
010439O2V3	1373	5.53629934513071
010457	1305	4.11229667393219
010412	1193	5.77159755288955
010456O1V3	1273	5.89217082772979
010416-V1	992	5.70608634611051
010462O0B0	996	5.84952040523094
010440	1288	5.97583870610906
010473O1V2	2007	6.33893835397246
010474O1V3	1878	6.24259489602226
010411	1234	6.09811613630432
010473-00BO	1020	6.1351267076786
010447-00BO	1294	5.72289370287809
010474O1V1	1410	5.65990883801748
010443	1799	6.40239314363614
010438	923	5.40581711183802
010479O1V3	112	0.965833343336555
010467O1V2	858	3.11811856991163
010477O1V3	1455	6.2291402837257
010477O1V2	1544	6.39762092181382
010480-00BO	1398	6.27782880089301
010416	1319	5.93466618360225
010454	1300	5.94199304386744
010442	1310	6.02691639280214
010452	996	5.76846600254483
010474O1V2	941	5.24890506524964
010445	1259	5.70070645396276
010484O0B0	1019	5.79161463519003
010479-00BO	1362	6.12365405443554
010470	1424	6.04615509291457
010441	1188	6.00968273521231
010470O1V2	1024	5.66346564255657
010453	1193	5.94920783644203
010470O1V3	909	5.59227799505345
010469-00BO	1087	5.92480397103288
010436	849	5.73072190900746
010467	1302	5.21496431693028
010489O1V2	1074	4.90045654708393
010467O1V3	519	1.5404155413198
010489O1V3	776	5.34896515477313
010457-01V2	1306	4.44511802134542
010485-00BO	1555	6.03266558768001
010491O1V3	1217	6.0077236805986
010500O1V3	894	4.41703322092286
010473O1V3	1104	5.44769537510731
010497-00BO	1832	6.05412332948802
010498	933	5.51907460942454
010458	1380	6.20640419487465
010500O1V2	1111	4.52565021794248
010491O2V1	1329	5.93314534197903
010503O1V1	1253	6.07185518853347
010448	1285	5.87980101746991
010455	1251	5.91491783363655
010491O2V3	1063	5.77145140813842
010454-01V1	1345	5.86581388388901
010500O1V1	1347	6.05120996837921
010506O2V1	714	5.62573445216511
010506O2V3	1244	5.97305768618192
010486O0B0	1129	4.97393304719834
010492-00BO	1113	5.76601589488742
010502	1362	6.0990171526979
010507	1427	6.25109022610243
010489	984	5.82186736564699
010491O1V2	1358	5.91315126828225
010504O1V2	870	5.4827535919912
010465	979	5.61442283055
010506O3V3	1023	5.70352522477569
010484	1442	6.2573103452042
010516O1V2	793	5.5151216559105
010481-00BO	1462	6.26387216480945
010506O3V2	982	5.78594326640148
010427-00BO	1302	6.0107173100814
010504O1V3	983	5.49234870554652
010501	1172	5.76384178432715
010510O0B0	990	4.70212650729976
010515-00BO	878	5.3462596482248
010450	1403	5.97565523927074
010514	1480	6.10216633140627
010506O2V2	1114	5.56549146185174
010517O1V1	1100	5.54996565241059
