DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	host-phylum
COLOR	#ff0000

FIELD_COLORS	#8dd3c7	#a6cee3	#1f78b4	#b2df8a	#33a02c	#fb9a99	#e31a1c	#fdbf6f	#d9d9d9	#ff7f00	#cab2d6	#6a3d9a	#ffff99	#b15928	#575d63
FIELD_LABELS	Actinomycetota	Bacillota	Bacillota_A	Bacillota_B	Bacillota_C	Bacillota_I	Bacteroidota	Campylobacterota	other	Fusobacteriota	Patescibacteria	Pseudomonadota	Spirochaetota	Synergistota	multiple



DASHED_LINES	1
HEIGHT_FACTOR	2
WIDTH	75
MARGIN	25


DATA
OAPGCV030321	0	33.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV039764	0	60.86956522	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV067568	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV039939	0	68.57142857	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV063471	0	80.92243187	0	0	0	0	0.139762404	0	0	0	0	0	0	0	2.655485674
OAPGCV036786	0	2.127659574	25.53191489	0	0	0	0	0	0	0	0	0	0	0	14.89361702
OAPGCV064818	0	75.98039216	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV025827	0	98.14814815	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV043885	0	0	66.66666667	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV051565	0	67.90123457	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV036352	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV053426	0	80.21015762	4.640980736	0	0	0	0	0	0	0	0	0	0	0	0.875656743
OAPGCV065359	0	94.09347714	0	0	0	0	0	0	0	0	0	0	0	0	0.102722137
OAPGCV059004	0	9.803921569	54.90196078	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV037392	0	78.57142857	0	0	0	0	0	0	0	0	0	0	0	0	1.428571429
OAPGCV051568	0	89.6969697	0	0	0	0	0	0	0	0	0	0	0	0	5.757575758
OAPGCV057993	0	16.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV016072	0	94.80519481	0	0	0	0	0	0	0	0	0	0	0	0	0.25974026
OAPGCV061571	0	90.45643154	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV051286	1.102941176	73.46813725	2.389705882	0	0	3.982843137	0	0	0	0	0	0	0	0	0.490196078
OAPGCV014483	0	84.82871126	0	0	0	0	0	0	0	0	0	0	0	0	0.163132137
OAPGCV031892	0	66.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV049112	0	64.28571429	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV057413	0	26.31578947	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV063301	0	82.57527226	0	0	0	0	0	0	0	0	0	0	0	0	5.829596413
OAPGCV064996	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0
OAPGCV046282	0	0	0	0	0	0	0	0	0	0	0	0	50	0	50
OAPGCV068055	0	0	0	0	0	78.57142857	0	0	0	0	0	0	0	0	8.571428571
OAPGCV051599	0	0	30.27027027	0	0	69.18918919	0	0	0	0	0	0	0	0	0
OAPGCV064728	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
OAPGCV064958	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
OAPGCV064213	0	0	46.04316547	1.079136691	0	14.38848921	0	0	0	0	0	0	0	0	26.61870504
OAPGCV060789	0	0	58.62068966	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV006392	0	0	98.70967742	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV023748	0	0	0	0	0	5.128205128	0	0	0	0	0	0	79.48717949	0	10.25641026
OAPGCV051201	0	0	88	0	0	0	0	0	0	0	0	0	0	0	12
OAPGCV055304	0	0	79.11111111	0	0	0	0	0	0	0	0	0	0	0	0.444444444
OAPGCV033827	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV043796	0	0	61.25	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV004708	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0
OAPGCV042819	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV047994	0	0	83.33333333	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV018177	0	0	75.51020408	0	0	8.163265306	0	0	0	0	0	0	0	0	0
OAPGCV065512	0	0	36.30952381	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV062365	0	0	86.48648649	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV031989	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0
OAPGCV063492	0	0	0	0	0	0.636942675	40.76433121	0	0	0	0	0	0	0	0
OAPGCV040267	90	0	0	0	0	0	0	0	0	0	0	0	0	0	3.333333333
OAPGCV064868	0	96.61016949	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV009921	0	0	0	0	0	0	0	0	0	0	0	9.090909091	0	0	0
OAPGCV014062	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV060101	65.82278481	0	0	0	0	0	0	0	0	0	0	0	0	0	34.17721519
OAPGCV038840	50	0	0	0	0	0	0	0	0	0	0	0	0	0	16.66666667
OAPGCV027100	0	33.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV054709	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV011951	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV064043	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV058131	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV032812	0	0	0	0	0	1.470588235	89.70588235	0	0	0	0	0	0	0	0
OAPGCV049301	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV068334	0	8.196721311	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV060535	0	77.77777778	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV055093	0	28.57142857	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV005810	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV052535	0	80.95238095	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV062864	0	97.31543624	1.510067114	0	0	0	0	0	0	0	0	0	0	0	0.838926174
OAPGCV066918	0	90.51094891	0	0	0	0	0	0	0	0	0	0	0	0	0.364963504
OAPGCV008408	0	88.18112049	0.383729854	0	0	0	0	0	0	0.076745971	0	0	0	0	0.690713738
OAPGCV050312	0	97.79411765	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV044930	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV019436	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV013639	0	83.47107438	0	0	0	0	0	0	0	0	0	0	0	0	2.479338843
OAPGCV040479	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0
