DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	lifestyle
COLOR	#ff0000
FIELD_COLORS	#df5173	#27537c	#ccd3d3
FIELD_LABELS	Temperate	Virulent	unclassified

DASHED_LINES	1
WIDTH	75
MARGIN	25
HEIGHT_FACTOR	2

DATA
OAPGCV043970	89.47368421	1.754385965	8.771929825
OAPGCV067938	100	0	0
OAPGCV058886	75	25	0
OAPGCV062390	0	100	0
OAPGCV032724	0	100	0
OAPGCV031454	0	100	0
OAPGCV067734	100	0	0
OAPGCV045609	76.19047619	19.04761905	4.761904762
OAPGCV025839	80	20	0
OAPGCV067869	100	0	0
OAPGCV046636	100	0	0
OAPGCV043155	80.39215686	15.68627451	3.921568627
OAPGCV046631	100	0	0
OAPGCV045470	0	0	100
OAPGCV058887	81.81818182	9.090909091	9.090909091
OAPGCV062384	46.15384615	15.38461538	38.46153846
OAPGCV045582	63.63636364	18.18181818	18.18181818
OAPGCV068162	58.33333333	8.333333333	33.33333333
OAPGCV058514	100	0	0
OAPGCV059050	50	50	0
OAPGCV029646	0	100	0
OAPGCV068080	75	25	0
OAPGCV058268	85.71428571	14.28571429	0
OAPGCV046179	0	50	50
OAPGCV031972	71.42857143	14.28571429	14.28571429
OAPGCV061239	100	0	0
OAPGCV066037	6.41025641	78.20512821	15.38461538
OAPGCV047959	0	100	0
OAPGCV001599	0	98.8372093	1.162790698
OAPGCV013164	0	100	0
OAPGCV029854	0	89.55223881	10.44776119
OAPGCV025480	0	71.77419355	28.22580645
OAPGCV039721	0	33.33333333	66.66666667
OAPGCV066712	0	0	100
OAPGCV027782	0	100	0
OAPGCV038464	100	0	0
OAPGCV058513	0	100	0
OAPGCV000738	0	97.6744186	2.325581395
OAPGCV018994	0	100	0
OAPGCV065162	3.703703704	90.74074074	5.555555556
OAPGCV061241	4.166666667	87.5	8.333333333
OAPGCV037302	0	50	50
OAPGCV061144	0	100	0
OAPGCV053623	87.6933423	7.262945528	5.043712172
OAPGCV011833	14.56953642	83.44370861	1.986754967
OAPGCV063232	0	100	0
OAPGCV009549	0	0	100
OAPGCV068121	0	100	0
OAPGCV061181	0	75	25
OAPGCV061266	0	66.66666667	33.33333333
OAPGCV047702	0	0	100
OAPGCV001679	0	100	0
OAPGCV039872	90.35087719	7.01754386	2.631578947
OAPGCV058145	0	25	75
OAPGCV067945	25.92592593	48.14814815	25.92592593
OAPGCV015646	0	71.42857143	28.57142857
OAPGCV048653	0	99.33333333	0.666666667
OAPGCV019934	45.20780322	49.10941476	5.682782019
OAPGCV031713	0	50	50
OAPGCV007604	0	98.91304348	1.086956522
OAPGCV061177	0	100	0
OAPGCV059617	0	100	0
OAPGCV060422	0	100	0
OAPGCV064301	52.09513024	3.057757644	44.84711212
OAPGCV048230	0	100	0
OAPGCV047234	0	100	0
OAPGCV068319	0	100	0
OAPGCV058482	0	97.38219895	2.617801047
OAPGCV067903	0	100	0
OAPGCV013769	0	96.1722488	3.827751196
OAPGCV006899	6.451612903	93.5483871	0
OAPGCV029381	0	95.74468085	4.255319149
OAPGCV009387	0	100	0
OAPGCV005845	0	93.1372549	6.862745098
OAPGCV030059	0	0	100
OAPGCV068691	0	0	100
OAPGCV047242	0	100	0
OAPGCV027253	5.555555556	83.33333333	11.11111111
OAPGCV000365	0	57.14285714	42.85714286
OAPGCV029424	0	0	100
OAPGCV065136	66.66666667	33.33333333	0
OAPGCV066503	0.68119891	97.54768392	1.771117166
OAPGCV062692	20	20	60
OAPGCV065568	0.503778338	85.89420655	13.60201511
OAPGCV063172	0	98.46153846	1.538461538
OAPGCV038639	0	99.25373134	0.746268657
OAPGCV001795	0	85.71428571	14.28571429
OAPGCV012344	0	82.87671233	17.12328767
OAPGCV035575	0	87.5	12.5
OAPGCV007367	0	34.14634146	65.85365854
OAPGCV004029	0	0	100
OAPGCV002312	0	31.37254902	68.62745098
OAPGCV067393	0	82.35294118	17.64705882
OAPGCV012294	100	0	0
OAPGCV000999	0	94.73684211	5.263157895
OAPGCV032151	0	81.81818182	18.18181818
OAPGCV054623	2.816901408	0	97.18309859
OAPGCV040091	0	100	0
OAPGCV038702	0	100	0
OAPGCV065444	100	0	0
OAPGCV066954	0	0	100
OAPGCV001021	0	100	0
OAPGCV058600	0	25	75
OAPGCV048905	0	72.72727273	27.27272727
OAPGCV037924	0	91.08910891	8.910891089
OAPGCV036446	0	49.12280702	50.87719298
OAPGCV038789	0	0	100
OAPGCV038498	0	15.78947368	84.21052632
OAPGCV039892	100	0	0
OAPGCV039119	50	50	0
OAPGCV039742	93.18181818	0	6.818181818
OAPGCV057442	0	0	100
OAPGCV039377	0	32.43243243	67.56756757
OAPGCV039680	23.6453202	2.955665025	73.39901478
OAPGCV038228	0	37.80487805	62.19512195
OAPGCV039562	0	0	100
OAPGCV040499	1.818181818	16.36363636	81.81818182
OAPGCV038899	0	86.95652174	13.04347826
OAPGCV023828	0	20.06920415	79.93079585
OAPGCV014563	0.625	18.75	80.625
OAPGCV046518	0.64516129	92.90322581	6.451612903
OAPGCV040140	0	0	100
OAPGCV060873	0	12.5	87.5
OAPGCV040241	0	27.27272727	72.72727273
OAPGCV059879	1.57480315	68.50393701	29.92125984
OAPGCV061867	0	21.51898734	78.48101266
OAPGCV007826	0	40	60
OAPGCV039309	0	25.25252525	74.74747475
OAPGCV039148	0	77.10843373	22.89156627
OAPGCV040471	64.47368421	10.52631579	25
OAPGCV040113	0	12	88
OAPGCV038528	0	9.090909091	90.90909091
OAPGCV022820	0	0	100
OAPGCV040340	0	1.075268817	98.92473118
OAPGCV065373	0	12.33766234	87.66233766
OAPGCV034192	0	68	32
OAPGCV007286	0	80	20
OAPGCV060580	0	100	0
OAPGCV007210	0	83.58208955	16.41791045
OAPGCV005660	0	73.75415282	26.24584718
OAPGCV036487	0	86.79867987	13.20132013
OAPGCV054438	0	85.71428571	14.28571429
OAPGCV021447	0	100	0
OAPGCV027104	0	94.11764706	5.882352941
OAPGCV001878	0	100	0
OAPGCV015529	0	100	0
OAPGCV013962	0	96.47887324	3.521126761
OAPGCV058324	82.22222222	17.77777778	0
OAPGCV064899	99.2	0.8	0
OAPGCV065036	96.2962963	3.703703704	0
OAPGCV068408	91.58415842	7.425742574	0.99009901
OAPGCV060113	84.64912281	7.01754386	8.333333333
OAPGCV051814	4.580152672	0	95.41984733
OAPGCV065893	100	0	0
OAPGCV059814	92.70072993	5.839416058	1.459854015
OAPGCV068448	100	0	0
OAPGCV021014	83.33333333	16.66666667	0
OAPGCV004282	82.85714286	17.14285714	0
OAPGCV062815	100	0	0
OAPGCV037045	100	0	0
OAPGCV057173	100	0	0
OAPGCV033390	0	100	0
OAPGCV031058	0	100	0
OAPGCV029940	83.33333333	0	16.66666667
OAPGCV013570	0	100	0
OAPGCV031774	28.57142857	14.28571429	57.14285714
OAPGCV031124	100	0	0
OAPGCV045698	0	0	100
OAPGCV058349	66.66666667	25	8.333333333
OAPGCV066876	100	0	0
OAPGCV064116	0	100	0
OAPGCV011316	0	66.66666667	33.33333333
OAPGCV066693	0	100	0
OAPGCV065699	0	53.33333333	46.66666667
OAPGCV020264	0	100	0
OAPGCV004431	50	25	25
OAPGCV048409	0	96.875	3.125
OAPGCV056212	0	96.49122807	3.50877193
OAPGCV056707	83.33333333	6.666666667	10
OAPGCV005994	73.33333333	13.33333333	13.33333333
OAPGCV054601	74.13793103	15.51724138	10.34482759
OAPGCV002738	80.95238095	11.9047619	7.142857143
OAPGCV068665	0	100	0
OAPGCV062399	0	100	0
OAPGCV033445	0	100	0
OAPGCV047763	0	100	0
OAPGCV022410	0	100	0
OAPGCV038149	0	90	10
OAPGCV054297	100	0	0
OAPGCV040318	0	100	0
OAPGCV062023	0	100	0
OAPGCV050101	0	93.93939394	6.060606061
OAPGCV007204	0	100	0
OAPGCV066070	0	0	100
OAPGCV034999	0	0	100
OAPGCV040798	75.96153846	23.07692308	0.961538462
OAPGCV060726	0	50	50
OAPGCV062951	0	100	0
OAPGCV064448	0	100	0
