DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	host-family
COLOR	#ff0000


FIELD_COLORS	#8dd3c7	#a6cee3	#3f9fdf	#225ea8	#cb181d	#fdbf6f	#fcbba1	#e23739	#ff7f00	#d8edf9	#1f78b4	#33a02c	#edf8b1	#c7e9b4	#cab2d6	#e0d4e6	#eae4ed	#6a3d9a	#9e9ac8	#fb6a4a	#a3fff0	#deebf7	#63dd67	#ea6f71	#575d63	#d9d9d9
FIELD_LABELS	Actinomycetaceae	Aerococcaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Campylobacteraceae	Erysipelotrichaceae	Flavobacteriaceae	Fusobacteriaceae	Gemellaceae	Lachnospiraceae	Megasphaeraceae	Micrococcaceae	Mycobacteriaceae	Nanogingivalaceae	Nanosynbacteraceae	Nanosyncoccaceae	Neisseriaceae	Pasteurellaceae	Porphyromonadaceae	Propionibacteriaceae	Streptococcaceae	Veillonellaceae	Weeksellaceae	multiple	other



DASHED_LINES	1
WIDTH	75
MARGIN	25
HEIGHT_FACTOR	2


DATA
OAPGCV049775	57.92227205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.18086697	0
OAPGCV015560	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV044970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.55172414	0	0	0	3.448275862	0
OAPGCV058709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	18.75	0
OAPGCV050471	7.327586207	0	0	0	0	0	0	0	0	0	0	0	32.75862069	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV065648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.85714286
OAPGCV006036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.14285714
OAPGCV050530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
OAPGCV007298	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV027397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.405405405	0	0	0	0
OAPGCV007662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.73265651	0	0	28.42639594	6.260575296
OAPGCV013350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.11111111	0	0	0	0	0
OAPGCV014404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.33333333	20	0	0	0	0	0	0	0	0	0
OAPGCV009626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.105263158	0	57.89473684	0	0	0	0	0	0	0	0	0
OAPGCV002564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	8.75	0	0	0	0	0	0	0	0	75.83333333	5
OAPGCV067987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.9748954	1.673640167	0	0	0	0	0	0	0	0	15.89958159	2.092050209
OAPGCV025780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.692307692	3.846153846	0	0	0	0	0	0	0	0	0	0
OAPGCV026001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.38674033	17.67955801	0	0	0	0	0	0	0	0	24.86187845	1.104972376
OAPGCV012121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.10830325	5.054151625	0	0	0	0	0	0	0	0	15.16245487	4.332129964
OAPGCV034262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.368421053	0	0	0	0	0	0	0	92.63157895	0
OAPGCV042722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.04761905
OAPGCV041683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.70886076	1.772151899	26.83544304	0	0	0	0	0	0	0	0.506329114	0.253164557
OAPGCV046398	0	0	0	0	0	0	0	0	0	0	1.086956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.260869565
OAPGCV063933	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	16	12
OAPGCV037310	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV066438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.29411765	0	0	0	0	0	0	0	0	0	1.680672269
OAPGCV064508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.692307692	0	0	0	0	0	0	0	0	15.38461538	15.38461538
OAPGCV028677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.04347826	86.95652174
OAPGCV026415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3.5	60	0	0	0	0	0	0	0	7	2
OAPGCV006677	32.21757322	0	1.422594142	0.209205021	0	0	0.460251046	0	0	0	0.753138075	0	0	0	0	0	0	0	0	0	0.041841004	53.22175732	0	0	1.338912134	0
OAPGCV027745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.66666667
OAPGCV061920	0	0	5.263157895	7.894736842	0	0	0	0	0	0	52.63157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV006108	0	0	0	0	0	0	0	0	0	0	9.756097561	0	0	0	0	0	0	0	0	0	0	0	75.6097561	0	12.19512195	0
OAPGCV016405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.94736842
OAPGCV016237	0	0	0	0	0	0	1.379310345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.89655172	0	0	0	0
OAPGCV033986	0	0	0	0	38.46153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV038469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.38461538	84.61538462
OAPGCV009615	0	0	0	0	0	0	0	0	68.18181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.272727273	0
OAPGCV004608	0	0	0	0	0	0	0	0	89.86175115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.608294931	0.460829493
OAPGCV013987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.564102564	93.58974359
OAPGCV046242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV005863	0	0	0	0	0	0	0	0	11.76470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV047475	0	0	0	0	0	0	0	0	9.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.090909091
OAPGCV054776	0	0	0	0	0	0	0	0	0	0	66.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV009919	0	0	0	0	0	0	0	0	0	0	97.24770642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAPGCV002486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
OAPGCV017502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.28571429
OAPGCV066630	0	16.4893617	0	0	0	0	0	0	2.925531915	0	7.446808511	2.061170213	0	0	0	0	0	0	0	0	0	9.507978723	24.06914894	0	2.792553191	8.843085106
OAPGCV016363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.24050633	0	0	0
